title,publisher,categories,review_score,review_summary
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,One of two books of Sept 11 that really standout!
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,"A ""Must-Have""!!!"
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Lest we forget
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,A Book For Every Coffee Table
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,"Excellent, almost perfect."
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.0,Uninformative
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.0,"The Worst , w/ the best photos"
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Excellent transaction. Great communication with seller.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Excellent
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.5,One of the better photography books documenting 9-11.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,More powerful as time goes on
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,BEST BOOK ABOUT SEPTEMER 11TH THAT I HAVE SEEN
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Images of a Tragedy
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,"One Nation America September 11,2001"
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,A portrayal of any kind... is the truth of 9/11/01...
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Excellent review and pictorial on 9/11
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,An outstanding pictorial of the American Tragedy
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One nation remembers...
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,It tells it like it was!
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Excellent Portrayal of 9-11
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,LIFE captures history with pictures
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,difficult to look at
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.25,I was disappointed.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,KEEPSAKE
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,WHAT A GREAT BOOK
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,"Excellent -- the HARDCOVER of ""In the Land of The Free"""
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Must Have
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Beautiful
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Tear-jerking remembrance
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Exceptionally Done!
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Fantastic Book..with one error
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Guidepost To A Somber Journey
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,The best of the bunch
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,"Remarkable content, Lousy Layout"
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,It is Needed.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,A BEAUTIFUL TRIBUTE TO A TRAGIC TIME
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,"Images that Haunt, Images that Move"
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,"Superb, exactly what I was in search of!"
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Amazing pictoral look at 9-11
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,"Worth having, but..."
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,A stunning collection and achievement.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,very nice!
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,We Must NEVER Forget
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,an amazing book
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Great Blend Of Information &amp; Emotion
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,A Good Commemorative
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,Captures well the immensity of this event
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,A bit of history.
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,One Nation
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,A book of opposites
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,For Now and Tomorrow
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,best book ever
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,0.75,"This Is Why It's Called ""Life"""
"One Nation: America Remembers September 11, 2001","Little, Brown",photography,1.0,trite but true: a picture is worth a thousand words...
"Bucks County, a Photographic Celebration",,photography,1.0,A Wonderful Pictorial Visit
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,Barthes' last and most beautiful book
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,The Transparent Camera
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,Camera Lucida moves me to tears.
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.75,Camera Lucida seeks to uncover the essence of photographs.
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,shocked
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,For the people...
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.75,Just this..
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,Great book! Made me think!
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.75,"Barthes on Art, not just Photography."
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,DEEP AND MEANINGFUL
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.0,Totally disappointing
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.0,boring & pretentious crap!
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,Excellent Book!
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,Barthes Un-Does the History of Photography (and Himself)
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.75,A true classic worth visiting
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,camera lucida
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,Perhaps the Best
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.25,You'll literally need a Ph.D. to understand this book
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,New Breath before the bread-truck struck
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,incredible
Camera Lucida: Reflections on Photography,Hill and Wang,photography,1.0,confession
Camera Lucida: Reflections on Photography,Hill and Wang,photography,0.0,Heavy going
Great Smoky Mountains Simply Beautiful,Farcountry Press,photography,1.0,An excellent coffee table book
Great Smoky Mountains Simply Beautiful,Farcountry Press,photography,1.0,"Coffee table book: ""Great Smoky Mountains"""
Aerial: The Art of Photography from the Sky,Rotovision,photography,1.0,Strongly encouraged for anyone with even a passing interest in this subject.
Aerial: The Art of Photography from the Sky,Rotovision,photography,1.0,Nice Book
Aerial: The Art of Photography from the Sky,Rotovision,photography,1.0,Amazing one-of-a-kind visual scenarios
Digital Family Album Basics: Tools for Making Digital Memories,Amphoto Books,photography,1.0,Loved it!
Digital Family Album Basics: Tools for Making Digital Memories,Amphoto Books,photography,1.0,Such a helpful book!
Vagina Warriors,,photography,1.0,You Have a Warrior Inside - Waiting to Be Fully Expressed
Vagina Warriors,,photography,1.0,Yeah!! Vaginas!!
Vagina Warriors,,photography,0.5,informative
Ansel Adams: Letters and Images 1916-1984.,Little Brown GBR,photography,0.75,peeking into a part of his life
Ansel Adams: Letters and Images 1916-1984.,Little Brown GBR,photography,1.0,Interesting and full of insight.
Ansel Adams: Letters and Images 1916-1984.,Little Brown GBR,photography,1.0,Amazing
Ansel Adams: Letters and Images 1916-1984.,Little Brown GBR,photography,1.0,"Out of print, but still excellent reading."
The Erotic Lives of Women,Scalo Verlag Ac,photography,0.75,"Once lost, but now found"
The Erotic Lives of Women,Scalo Verlag Ac,photography,1.0,In case you haven't seen the book...
The Erotic Lives of Women,Scalo Verlag Ac,photography,0.0,Pure pap
The Erotic Lives of Women,Scalo Verlag Ac,photography,0.0,"Stupid book, geared towards morons."
The Erotic Lives of Women,Scalo Verlag Ac,photography,0.0,Tacky and written for uneducated fools.
Texas Reflections (Texas Littlebooks),Westcliffe Pub,photography,1.0,A feast of words and images
Texas Reflections (Texas Littlebooks),Westcliffe Pub,photography,1.0,fantastic pix of TEXAS
F. Holland Day: Suffering the Ideal,Twin Palms Pub,photography,1.0,Suffering The Ideal
F. Holland Day: Suffering the Ideal,Twin Palms Pub,photography,1.0,Beautiful
Faceless: The Most Famous Photographer in the World,Editions Assouline,photography,0.0,What a bunch of horse sh....
Faceless: The Most Famous Photographer in the World,Editions Assouline,photography,0.0,Faceless by David Douglas Duncan
Faceless: The Most Famous Photographer in the World,Editions Assouline,photography,0.0,Disavowed by Cartier-Bresson
Nan Goldin: Ten Years After : Naples 1986-1996,Scalo Verlag Ac,photography,1.0,"Lovely portraits of love, loss, beauty, and bohemia"
"Disfarmer: Heber Springs Portraits, 1939-1946; From the Collections of Peter Miller and Julia Scully",Twin Palms Pub,photography,1.0,Shining Reality
"Disfarmer: Heber Springs Portraits, 1939-1946; From the Collections of Peter Miller and Julia Scully",Twin Palms Pub,photography,1.0,Fabulous
"Disfarmer: Heber Springs Portraits, 1939-1946; From the Collections of Peter Miller and Julia Scully",Twin Palms Pub,photography,1.0,Mike Meyers was a home town boy.
"Disfarmer: Heber Springs Portraits, 1939-1946; From the Collections of Peter Miller and Julia Scully",Twin Palms Pub,photography,1.0,Double genius
In the South of France (Imago Mundi Book),David R. Godine Publisher,photography,1.0,Beautiful photos with a wonderful text
In the South of France (Imago Mundi Book),David R. Godine Publisher,photography,1.0,Almost as good as travelling there yourself!
In the South of France (Imago Mundi Book),David R. Godine Publisher,photography,1.0,Throwing light on a simple life
In the South of France (Imago Mundi Book),David R. Godine Publisher,photography,1.0,A standout in every way
In the South of France (Imago Mundi Book),David R. Godine Publisher,photography,1.0,"Not for the coffee table, more for the heart."
In the South of France (Imago Mundi Book),David R. Godine Publisher,photography,0.25,In Th South of France
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,This book was wonderful-it was a terrific guide.
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,0.75,Handcoloring with Photo Oils. Emphasis on Portraiture.
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,0.75,Great book
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,Excellent Choice for anyone wanting to handpaint
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,Beautiful examples and easy to understand text
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,Excellent Book and a &quot;Must Buy&quot; for the Handpainter!
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,"Smart, beautiful, helpful"
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,Good Technical Information
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,0.25,Poor coverage; too much emphasis on details
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,A Book Which Will Touch Your Soul
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,A beautiful and instructive handbook
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,A True Photobuff's Delight
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,The hand painter's bible.
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,Comprehensive Instructional
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,excellent work
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,"After reading this book, I now know my career of choice."
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,1.0,"excellent book, easy reading and easy to follow instructions"
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,0.25,Too basic; makes it look like Marshall is the only way to go
The Art of Handpainting Photographs (Amphoto Crafts),Taylor & Francis,photography,0.0,How to Handcolor like a Hallmark Artist.
Tender Violence: Domestic Visions in an Age of U.S. Imperialism (Cultural Studies of the United States),UNC Press Books,photography,1.0,Power and art are not separate
Tender Violence: Domestic Visions in an Age of U.S. Imperialism (Cultural Studies of the United States),UNC Press Books,photography,0.5,Read with a critical eye
Tender Violence: Domestic Visions in an Age of U.S. Imperialism (Cultural Studies of the United States),UNC Press Books,photography,0.75,Interesting!
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Very Informative Book
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.75,Several good tips.
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.5,Good Idea Generator
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Super!
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Practical and Great Learning Tool
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.75,Excellent but a little bit outdated
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.5,A-Z of Creative Photography
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Must-Have Reference
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.5,"Well written for film, not digital cameras"
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.25,frustrating for the DSLR photographer
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Very good technical
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Great for beginners who know the basics
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,What great ideas this book gave me!
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Very Practical Tool for Novice - Intermediate Photographers
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Upper Intermediate book covering the essentials
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,The best book for beginners!
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.75,Good but need to be revised for Digital Camera era
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,0.75,Some fun projects
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Great book for teaching photography
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Biginner Photographer
The A-Z of Creative Photography: Over 70 Techniques Explained in Full,David & Charles Publishers,photography,1.0,Top book - Not for the DSLR era
The Art of Nude Photography,Amphoto Books,photography,1.0,"A knockout, plain and simple"
The Art of Nude Photography,Amphoto Books,photography,0.5,"very nice, but a little standard"
The Art of Nude Photography,Amphoto Books,photography,0.5,mediocre choice
The Art of Nude Photography,Amphoto Books,photography,1.0,photography at its best
The Art of Nude Photography,Amphoto Books,photography,1.0,An Erudite Study of Form and Light
The Art of Nude Photography,Amphoto Books,photography,0.75,Great cover and nice book
The Art of Nude Photography,Amphoto Books,photography,0.25,"Can only beautiful, slim, women pose nude?"
Photography (7th Edition),Focal Press,photography,1.0,MUST be on your bookshelf.
Photography (7th Edition),Focal Press,photography,0.75,"Excellent reference guide &amp; teacher, but expensive"
Photography (7th Edition),Focal Press,photography,1.0,You'll never need another how-to book
Photography (7th Edition),Focal Press,photography,1.0,Ground Floor
Photography (7th Edition),Focal Press,photography,1.0,An excellent learning tool!
Photography (7th Edition),Focal Press,photography,0.75,Good basic text on photography
Photography (7th Edition),Focal Press,photography,1.0,Good Textbook
Photography (7th Edition),Focal Press,photography,0.75,Study photography
Photography (7th Edition),Focal Press,photography,1.0,Great Reference Book On Photography
Photography (7th Edition),Focal Press,photography,1.0,Great Service and Speed
Photography (7th Edition),Focal Press,photography,1.0,Just what I needed
Photography (7th Edition),Focal Press,photography,1.0,Great book
Photography (7th Edition),Focal Press,photography,0.5,"Complete Photography, but change the size of the book."
Pageant: The Beauty Contest,Te Neues Publishing Company,photography,0.75,"GLAMOUR, GLITZ, AND YOU'VE GOT TO BE KIDDING!"
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Inspirational and Good Value
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,A must buy for those who loves digital photography !
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.0,50 Fast and Bad Techniques
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,A Must Have!!
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.25,You Can Do Better......
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.0,50 Fast Digital Photo Techniques
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.0,Useless information
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.25,Dissapointed in cover and description
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Simply the best
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.5,It Accomplishes Its Purpose
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,This is the best way
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Have Fun!
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.75,Great book: some improvements would help
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.75,Great image editing book
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.75,50 Fast Digital Photo Techniques by Gregory George
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.5,"Outdated, with unpardonable omissions in tutorials."
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.25,Dated And Doesn't Succeed In A Lot Of Places...
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Fantastic! Step-by-Step Instructions
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Great Way To Learn
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Great if you want to learn Photoshop Elements
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Great Photoshop Elements tutorial
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Excellent digital cookbook
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,0.75,Highly Recommended!
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Very helpful in getting the best of your digital images
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,Hands on learning
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,One of the best
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,What a Great Way to Start!
50 Fast Digital Photo Techniques with Photoshop Elements 3,Wiley,photography,1.0,A Great Book!!
American Photographic Patents: The Daguerreotype and Wet Plate Era 1840-1880,Carl Mautz Publishing,photography,1.0,This is a comprehensive list of the earlier photographic patents.
American Photographic Patents: The Daguerreotype and Wet Plate Era 1840-1880,Carl Mautz Publishing,photography,0.75,A Great Compilation--almost
American Photographic Patents: The Daguerreotype and Wet Plate Era 1840-1880,Carl Mautz Publishing,photography,0.0,not worth the money
"George Tice: Selected Photographs, 1953-1999 (Pocket Paragon)",David R. Godine Publisher,photography,1.0,Beautiful
Monique's Kindergarten,,photography,0.5,Each new hour holds news chances
Monique's Kindergarten,,photography,1.0,Astounding photos. B E A U T I F U L
Behind the Seen,New Riders,photography,1.0,Awesome book
The Hamptons Suite,,photography,1.0,A Spirit-Enriching Experience
The Hamptons Suite,,photography,1.0,Totally Fabulous Pictures of the Hamptons
The Hamptons Suite,,photography,1.0,Beautiful
The Hamptons Suite,,photography,0.75,Price
The Hamptons Suite,,photography,1.0,The Price
100 Views of the Hamptons,,photography,1.0,"Haunting Images of Light ,Space and Sea"
100 Views of the Hamptons,,photography,1.0,Special
Photographs & Memories -- His Greatest Hits,Phaidon Press,photography,0.5,Readers Digest Version
Margaret Bourke-White: Photographer,Bulfinch Press,photography,1.0,Her sense of design and form was and still is incredible!
Margaret Bourke-White: Photographer,Bulfinch Press,photography,1.0,"Finally, a book of photographs by Margaret Bourke-White"
Margaret Bourke-White: Photographer,Bulfinch Press,photography,1.0,As documentary images they are as good as any I have seen
Margaret Bourke-White: Photographer,Bulfinch Press,photography,1.0,Excellent
Margaret Bourke-White: Photographer,Bulfinch Press,photography,1.0,A Beautiful Book
Margaret Bourke-White: Photographer,Bulfinch Press,photography,1.0,Margaret Bourke-White Photographer
Bondi Classic,Cowboy Mouth Pub,photography,1.0,An Instant Classic!
Bondi Classic,Cowboy Mouth Pub,photography,1.0,The Men of Australia
Bondi Classic,Cowboy Mouth Pub,photography,1.0,Sensual and Beautiful
Bondi Classic,Cowboy Mouth Pub,photography,1.0,Paul Freeman---THE VERY BEST!!!!!!!!!!!!!!!!
Bondi Classic,Cowboy Mouth Pub,photography,1.0,Paul Freeman is an artist
Bondi Classic,Cowboy Mouth Pub,photography,1.0,The first in an incredible series of male photography books
"Women Together: Portraits of Love, Commitment, and Life",Running Press Book Publishers,photography,1.0,"Beautifully written, exquisitely photographed"
"Women Together: Portraits of Love, Commitment, and Life",Running Press Book Publishers,photography,1.0,A Beautiful Celebration of Love and Partnership
"Women Together: Portraits of Love, Commitment, and Life",Running Press Book Publishers,photography,1.0,Beautiful
"Women Together: Portraits of Love, Commitment, and Life",Running Press Book Publishers,photography,1.0,Women Together
Master Photographs,,photography,0.75,Great photos
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,0.0,"great for beginners, but very basic and outdated"
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,Plain Direct Language!
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,The Computer Crafter's BEST Resource!
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,"Excellent resource for Computer Crafters, rookie to pro!"
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,Filled with fun!
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,Comprehensive guide to creativity with your color printer.
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,Great book filled with ideas and projects
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,Best present that I could ever send
The Color Printer Idea Book : 40 Really Cool and Useful Projects to Make with Any Color Printer!,Amherst Media,photography,1.0,Love this book!
The Joy Of Photography,Addison Wesley Publishing Company,photography,1.0,One of the best books for people seeking to learn the basics
The Joy Of Photography,Addison Wesley Publishing Company,photography,0.75,Find Your Inner Liebovitz...
The Joy Of Photography,Addison Wesley Publishing Company,photography,1.0,Good resource for the basics of photography
